    Risques  Impact  Probabilite  Note
0   Risk 01       2            5    10
1   Risk 02       5            3    15
2   Risk 03       2            4     8
3   Risk 04       5            5    25
4   Risk 05       5            5    25
5   Risk 06       2            3     6
6   Risk 07       1            5     5
7   Risk 08       1            3     3
8   Risk 09       2            2     4
9   Risk 10       1            5     5
10  Risk 11       3            2     6
11  Risk 12       2            2     4
12  Risk 13       4            3    12
13  Risk 14       2            4     8
14  Risk 15       5            5    25
15  Risk 16       5            5    25
16  Risk 17       1            5     5
17  Risk 18       1            3     3
18  Risk 19       2            3     6
19  Risk 20       5            4    20
20  Risk 21       5            4    20
21  Risk 22       4            2     8
22  Risk 23       1            5     5
23  Risk 24       4            4    16
24  Risk 25       4            5    20
25  Risk 26       2            2     4
26  Risk 27       5            3    15
27  Risk 28       3            3     9
28  Risk 29       4            1     4
